,ROUTE_ID,NUM_OF_STOPS
922,8526,25
923,8527,27
924,8532,15
925,8533,25
926,8543,38
927,8544,26
928,8545,63
929,8546,35
930,8548,32
931,8549,25
932,8423,15
933,8424,3
934,8425,12
935,8426,11
936,8427,33
937,8428,45
938,8437,13
939,8440,8
940,8445,19
941,8446,19
942,8447,40
943,8448,29
944,8470,36
945,8472,9
946,8473,22
947,8474,38
948,8475,15
949,8476,55
950,8484,12
951,8486,20
952,8487,18
953,8488,19
954,8490,37
955,8491,12
956,8500,20
957,8501,32
958,8503,26
959,8504,8
960,8505,23
961,8509,7
962,8518,26
963,8519,21
964,8520,11
965,8521,36
966,8522,29
967,8523,22
968,8534,30
969,8535,21
970,8537,20
971,8538,27
972,8539,14
973,8540,23
974,8551,28
975,8552,17
976,8553,43
977,8554,34
978,8555,37
979,8556,41
980,8557,28
981,8558,31
982,8559,28
983,8560,50
984,8561,51
985,8562,52
986,8571,35
987,8572,22
988,8573,29
989,8574,61
990,8575,57
991,8576,28
992,8578,17
993,8585,42
994,8586,34
995,8587,35
996,8588,32
997,8589,36
998,8590,24
999,8598,14
1000,8600,28
1001,8601,26
1002,8602,25
1003,8603,24
1004,8605,11
1005,8612,8
1006,8613,9
1007,8614,16
1008,8615,14
1009,8616,33
1010,8617,21
1011,8628,31
1012,8629,28
1013,8631,11
1014,8633,7
1015,8634,4
1016,8635,7
1017,8642,20
1018,8643,30
1019,8644,14
1020,8645,8
1021,8649,23
1022,8650,13
1023,8661,25
1024,8663,25
1025,8666,39
1026,8667,20
1027,8668,34
1028,8669,29
1029,8563,31
1030,8564,31
1031,8565,39
1032,8566,51
1033,8567,50
1034,8568,53
1035,8569,54
1036,8570,51
1037,8579,21
1038,8580,25
1039,8581,33
1040,8582,14
1041,8583,39
1042,8584,36
1043,8591,21
1044,8593,24
1045,8594,47
1046,8595,27
1047,8596,12
1048,8597,14
1049,8606,29
1050,8607,51
1051,8608,17
1052,8609,41
1053,8610,18
1054,8611,18
1055,8618,17
1056,8619,19
1057,8623,19
1058,8625,29
1059,8626,51
1060,8627,17
1061,8636,3
1062,8637,29
1063,8638,16
1064,8639,24
1065,8640,20
1066,8652,11
1067,8653,40
1068,8654,7
1069,8655,13
1070,8656,13
1071,8657,17
1072,8670,30
1073,8677,34
1074,8678,16
1075,8679,6
1076,8680,39
1077,8681,25
1078,8683,22
1079,8684,31
1080,8685,23
1081,8686,21
1082,8687,10
1083,8688,11
1084,8697,18
1085,8698,28
1086,8699,58
1087,8700,6
1088,8701,14
1089,8703,29
1090,8710,13
1091,8711,26
1092,8715,32
1093,8716,19
1094,8717,12
1095,8718,23
1096,8724,5
1097,8725,6
1098,8726,5
1099,8733,38
1100,8734,15
1101,8736,48
1102,8738,25
1103,8740,22
1104,8743,15
1105,8751,34
1106,8752,8
1107,8753,5
1108,8754,4
1109,8755,30
1110,8756,19
1111,8764,30
1112,8765,38
1113,8768,22
1114,8769,6
1115,8771,14
1116,8772,12
1117,8781,27
1118,8782,30
1119,8784,24
1120,8785,26
1121,8786,26
1122,8787,12
1123,8689,6
1124,8691,13
1125,8693,17
1126,8694,22
1127,8695,37
1128,8696,6
1129,8704,16
1130,8705,16
1131,8706,21
1132,8707,15
1133,8708,28
1134,8709,17
1135,8720,15
1136,8721,38
1137,8722,3
1138,8723,3
1139,8727,47
1140,8728,14
1141,8729,24
1142,8730,29
1143,8731,21
1144,8732,21
1145,8744,40
1146,8745,25
1147,8747,10
1148,8748,27
1149,8749,20
1150,8750,15
1151,8758,23
1152,8759,27
1153,8760,27
1154,8761,15
1155,8762,19
1156,8763,18
1157,8773,12
1158,8774,19
1159,8778,36
1160,8779,23
1161,8780,21
1162,8788,5
1163,8789,20
1164,8790,29
1165,8791,23
1166,8792,39
1167,8793,29
1168,8794,37
1169,8795,37
1170,8796,31
1171,8797,19
1172,8798,31
1173,8799,3
1174,8805,33
1175,1000001,22
1176,1000002,16
1177,1000004,26
1178,1000006,29
1179,1000013,15
1180,1000014,25
1181,1000015,27
1182,1000016,22
1183,1000019,32
1184,1000021,22
1185,1000027,39
1186,1000028,26
1187,1000029,19
1188,1000031,21
1189,1000033,18
1190,1000047,35
1191,1000048,20
1192,1000049,25
1193,1000051,10
